Model,Training set size (s),replicate_num,Window Size,variable,value,Post-processing,Metric
ConvTemporalConvNet,1800.0,1,4000,precision_tfm,95.48239707946776,True,Precision (%)
ConvTemporalConvNet,1800.0,2,4000,precision_tfm,96.19352221488951,True,Precision (%)
ConvTemporalConvNet,1800.0,3,4000,precision_tfm,96.48275375366212,True,Precision (%)
ConvTemporalConvNet,1800.0,4,4000,precision_tfm,96.22346758842468,True,Precision (%)
ConvTemporalConvNet,1800.0,5,4000,precision_tfm,95.4287588596344,True,Precision (%)
TweetyNet,1800.0,1,64,recall,94.64970231056212,False,Recall (%)
TweetyNet,1800.0,2,64,recall,95.20246982574464,False,Recall (%)
TweetyNet,1800.0,3,64,recall,93.51833462715148,False,Recall (%)
TweetyNet,1800.0,4,64,recall,94.15361285209656,False,Recall (%)
TweetyNet,1800.0,5,64,recall,94.88627314567566,False,Recall (%)
TweetyNet,1800.0,1,176,recall,96.15755081176758,False,Recall (%)
TweetyNet,1800.0,2,176,recall,95.11674642562866,False,Recall (%)
